,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
92857,1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,89,222523,1,"['Black Eyed Peas', 'Shakira']","['1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp']",2020-11-02,0.965,0.485,2,-8.783999999999999,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,4
92865,249gnXrbfmV8NG6jTEMSwD,Life Goes On,89,207481,0,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],2020-11-20,0.5660000000000001,0.716,1,-5.733,1,0.0424,0.0069099999999999995,0.0,0.37,0.45,81.068,4
92855,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,89,123263,1,['CJ'],['7arQA31aZVS8yS6zUveWzb'],2020-08-20,0.7190000000000001,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,4
93825,2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,89,140942,0,['Israel & Rodolffo'],['41QLxRXlc2NwfJZkHGHKid'],2021-01-29,0.606,0.9079999999999999,6,-6.2010000000000005,0,0.0565,0.556,0.0,0.19,0.7979999999999999,171.96599999999998,4
91872,1Xi84slp6FryDSCbzq4UCD,Arcade,89,183624,0,['Duncan Laurence'],['3klZnJvYGIbWritVwQD434'],2019-03-07,0.45,0.32899999999999996,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3
91870,21jGcNKet2qwijlDFuPiPb,Circles,89,215280,0,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],2019-09-06,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,4
93821,43PGPuHIlVOc04jrZVh9L6,RAPSTAR,89,165926,1,['Polo G'],['6AgTAQt8XS6jRWi4sX7w49'],2021-04-09,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.43700000000000006,81.039,4
93823,65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),89,192956,1,"['Drake', 'Lil Baby']","['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']",2021-03-05,0.578,0.449,1,-6.349,1,0.28600000000000003,0.0618,2.17e-06,0.11900000000000001,0.1,136.006,4
90901,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,239836,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2018-12-10,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,4
92879,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,88,247308,0,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']","['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']",2020-09-04,0.7929999999999999,0.7709999999999999,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.94299999999998,4
89909,0pqnGHJpmpxLKifKRmU6WP,Believer,88,204347,0,['Imagine Dragons'],['53XhwfbYqKCa1cC15pYq2q'],2017-06-23,0.7759999999999999,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,4
92877,2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),88,261493,1,"['Drake', 'Lil Durk']","['3TVXtAsR1Inumwj472S9r4', '3hcs9uc56yIGFCSy9leWe7']",2020-08-14,0.7609999999999999,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
92875,5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,88,130014,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2020-11-27,0.8109999999999999,0.637,10,-4.835,0,0.0591,0.23399999999999999,0.000572,0.11800000000000001,0.47100000000000003,92.025,4
92873,2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,88,289933,1,"['Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy']","['7kXCcNRLEnblbTAppPraBp', '329e4yvIujISKGKz1BZZbO', '5hdhHgpxyniooUiQVaPxQ0', '2cPqdH7XMvwaBJEVjheH8g', '6kq4GHwUcUojGIu0ziSNXf']",2020-11-20,0.8240000000000001,0.8370000000000001,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,4
93838,1nahzW3kfMuwReTka28tH5,Hold On,88,170813,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-03-19,0.6579999999999999,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,4
88938,6gBFPUFcJLzWGx4lenP6h2,goosebumps,88,243837,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
91877,0nbXyq5TXYPCO7pr3N8S4I,The Box,88,196653,1,['Roddy Ricch'],['757aE44tKEUQEqRuT6GnEB'],2019-12-06,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.10400000000000001,0.0,0.79,0.642,116.971,4
91878,3H7ihDc1dqLriiWXwsc2po,Breaking Me,88,166794,0,"['Topic', 'A7S']","['0u6GtibW46tFX7koQ6uNJZ', '5Wg2b4Mp42gicxEeDNawf7']",2019-12-19,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4
93818,3UHPGOkUcE4hE7sqBF4Snt,Film out,88,214621,0,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],2021-04-01,0.499,0.7090000000000001,10,-6.404,1,0.134,0.29600000000000004,0.0,0.331,0.314,164.032,4
92883,1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,88,132833,1,['Polo G'],['6AgTAQt8XS6jRWi4sX7w49'],2020-05-15,0.8320000000000001,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.11599999999999999,93.92399999999999,4
91884,3jjujdWJ72nww5eGnfs2E7,Adore You,88,207133,0,['Harry Styles'],['6KImCVD70vtIoJWnq6nGn3'],2019-12-13,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99.04799999999999,4
91874,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,88,176840,1,"['SAINt JHN', 'Imanbek']","['0H39MdGGX6dbnnQPt6NQkZ', '5rGrDvrLOV2VV8SCFVGWlj']",2019-10-09,0.77,0.7240000000000001,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
91875,2b8fOow8UzyDFAE27YhOZM,Memories,88,189486,0,['Maroon 5'],['04gDigrS5kc9YWfZHwBETP'],2019-09-20,0.764,0.32,11,-7.209,1,0.0546,0.8370000000000001,0.0,0.0822,0.575,91.01899999999999,4
91873,45S5WTQEGOB1VHr1Q4FuPl,Golden,88,208907,0,['Harry Styles'],['6KImCVD70vtIoJWnq6nGn3'],2019-12-13,0.44799999999999995,0.838,4,-5.257000000000001,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4
91882,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,88,209438,0,['Tones And I'],['2NjfBq1NflQcKSeiDooVjY'],2019-10-17,0.8240000000000001,0.588,6,-6.4,0,0.0924,0.6920000000000001,0.00010400000000000001,0.149,0.513,98.027,4
91880,2Fxmhks0bxGSBdJ92vM42m,bad guy,88,194088,0,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],2019-03-29,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4
92881,0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,88,185487,0,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],2020-12-21,0.6409999999999999,0.324,11,-5.851,1,0.0299,0.698,0.0,0.32799999999999996,0.273,110.184,4
86017,3U4isOIWM3VvDubwSI3y7a,All of Me,87,269560,0,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],2013-08-30,0.42200000000000004,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4
86018,5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,87,272394,0,['Arctic Monkeys'],['7Ln80lUS6He07XvHI8qqHH'],2013-09-09,0.5479999999999999,0.532,5,-7.596,1,0.0323,0.18600000000000003,0.000263,0.217,0.405,85.03,4
89912,7qiZfU4dY1lWllzX7mPBI3,Shape of You,87,233713,0,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],2017-03-03,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,4
90906,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,87,312820,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,0.8340000000000001,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.00799999999998,4
92885,5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),87,212093,0,"['Justin Bieber', 'Chance the Rapper']","['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']",2020-09-18,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.37200000000000005,86.919,4
92913,5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),87,169333,0,"['Miley Cyrus', 'Dua Lipa']","['5YGY8feqx7naU7z4HrwZM6', '6M2wZ9GZgrQXHCFfjv46we']",2020-11-20,0.7809999999999999,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,4
91885,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,87,175721,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2019-10-04,0.598,0.42700000000000005,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4
91886,1ZMiCix7XSAbfAJlEZWMCp,Falling,87,240133,0,['Harry Styles'],['6KImCVD70vtIoJWnq6nGn3'],2019-12-13,0.5670000000000001,0.267,4,-6.502000000000001,1,0.0299,0.8390000000000001,1.46e-06,0.08900000000000001,0.0592,110.01100000000001,4
91887,6Hj9jySrnFppAI0sEMCZpJ,Robbery,87,240051,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2019-03-08,0.685,0.6920000000000001,2,-5.122000000000001,1,0.0457,0.32799999999999996,0.0,0.153,0.578,159.966,5
91888,2tnVG71enUj33Ic2nFN6kZ,Ride It,87,157606,0,['Regard'],['4ofCBoyEiGSePFAG500xev'],2019-07-26,0.88,0.7509999999999999,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4
91889,6ocbgoVGwYJhOv1GgI9NsF,7 rings,87,178627,1,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2019-02-08,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,4
92887,0EhpEsp4L0oRGM0vmeaN5e,UN DIA (ONE DAY) (Feat. Tainy),87,232253,0,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']","['1vyhD5VmyZ7KMfW5gqLgo5', '0GM7qgcRCORpGnfcN2tCiB', '6M2wZ9GZgrQXHCFfjv46we', '4q3ewBCX7sLwd24euuV69X']",2020-07-24,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.17300000000000001,0.39299999999999996,168.169,4
91891,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,87,245426,0,['Billie Eilish'],['6qqNVTkY8uBg9cP3Jd7DAH'],2019-11-13,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
88940,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,87,211467,0,['James Arthur'],['4IWBUUAFIplrNtaOHcJPRM'],2016-10-28,0.358,0.557,10,-7.398,1,0.059000000000000004,0.695,0.0,0.0902,0.494,85.04299999999999,4
88939,55Am8neGJkdj2ADaM3aw5H,Train Wreck,87,208827,0,['James Arthur'],['4IWBUUAFIplrNtaOHcJPRM'],2016-10-28,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,4
78355,2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,87,243773,0,['Gym Class Heroes'],['4IJczjB0fJ04gs4uvP0Fli'],2005-02-22,0.72,0.7440000000000001,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,4
